id	Kanji	Strokes	Grade	Kanji_Classification	JLPT-test	Name_of_Radical	Radical_Freq	#_of_On	#_of_Meanings_of_On	#_of_Meanings_of_Kun	Year_of_Inclusion	Kanji_Frequency_with_Proper_Nouns	Kanji_Frequency_without_Proper_Nouns	Symmetry
1374	着	12	3	形声_Phonetic	4	Hitsuji	7	2	3	14	1981	137543	137422	P
1375	嫡	14	7	形声_Phonetic	1	Onna_Onnahen	36	1	4	0	1981	387	387	S
1376	中	4	1	象形_Pictographic	5	Boo	1	1	8	6	1981	1327113	846645	S
1377	仲	6	4	形声_Phonetic	2	Hito_Ninben_Hitoyane	104	1	2	2	1981	42150	27518	S
1378	虫	6	1	会意_Com_Ideographic	2	Mushi_Mushihen	10	1	8	8	1981	11017	10424	P
1379	沖	7	7	形声_Phonetic	1	Mizu_Sanzui_Shitamizu	118	1	2	2	1981	55452	15096	
1380	宙	8	6	形声_Phonetic	1	Ukanmuri	36	1	7	0	1981	23756	22540	
1381	忠	8	6	形声_Phonetic	1	Kokoro_Risshinben_Shitagokoro	76	1	4	0	1981	23776	4632	R
1382	抽	8	7	形声_Phonetic	1	Tehen	89	1	3	0	1981	10475	10467	R
1383	注	8	3	形声_Phonetic	4	Mizu_Sanzui_Shitamizu	118	1	3	9	1981	92991	92964	S
1384	昼	9	2	会意_Com_Ideographic	4	Nichi_Nichihen	38	1	2	3	1981	14793	14781	S
1385	柱	9	3	形声_Phonetic	2	Ki_Kihen	85	1	4	9	1981	16782	16223	P
1386	衷	10	7	形声_Phonetic	1	Koromo_Koromohen	21	1	3	0	1981	459	459	
1387	酎	10	7	形声_Phonetic	0	Tori_Torihen	14	1	1	0	2010	1604	1604	
1388	鋳	15	7	形声_Phonetic	1	Kane_Kanehen	33	1	1	3	1981	657	601	S
1389	駐	15	7	形声_Phonetic	2	Uma_Umahen	11	1	2	0	1981	27728	27520	S
1390	著	11	6	形声_Phonetic	2	Kusakanmuri	47	1	1	4	1981	184898	184771	S
1391	貯	12	4	形声_Phonetic	2	Kai_Kaihen	35	1	5	0	1981	12502	12495	S
1392	丁	2	3	象形_Pictographic	1	Ichi	14	2	5	0	1981	14027	13222	S
1393	弔	4	7	象形_Pictographic	1	Yumi_Yumihen	11	1	1	3	1981	2079	2079	R
1394	庁	5	6	形声_Phonetic	2	Madare	17	1	1	0	1981	118547	45202	P
1395	兆	6	4	象形_Pictographic	2	Hitoashi	9	1	5	4	1981	50730	50537	P
1396	町	7	1	形声_Phonetic	4	Ta_Tahen	19	1	5	3	1981	173304	145204	R
1397	長	8	2	象形_Pictographic	5	Nagai	1	1	11	2	1981	961902	863456	S
1398	挑	9	7	形声_Phonetic	1	Tehen	89	1	3	3	1981	39036	39036	
1399	帳	11	3	形声_Phonetic	1	Haba_Kinben	17	1	5	0	1981	18431	15163	S
1400	張	11	5	形声_Phonetic	1	Yumi_Yumihen	11	1	1	29	1981	125617	114027	P
1401	彫	11	7	会意_Com_Ideographic	1	Sanzukuri	5	1	1	4	1981	9569	9549	R
1402	眺	11	7	形声_Phonetic	1	Me_Mehen	19	1	4	4	1981	4119	4118	
1403	釣	11	7	形声_Phonetic	1	Kane_Kanehen	33	1	5	5	1981	8825	8282	R
